A_Date_,B_Shift_,C_Line_,Description_,E_Duration_,Frequency_,G_Downtime_Type,H_Machine_,I_Category_,J_Failure_Mode
27/04/2024,Morning,6,.,0,0,Minor Stop,Labeller,Material,. Frequent preform hook at the underneath of kicker wheel of roller sorter
27/04/2024,Morning,6,",",0,1,Minor Stop,Bottle Washer,Method,","
27/04/2024,Morning,6,.,0,0,Planned Stop,Labeller,Method,.
27/04/2024,Morning,6,P.E sensor at glide liner infeed to Labeller misaligned due to workloosed bolt,7,1,Break Down,Labeller,Material,P.E sensor at glide liner infeed to Labeller misaligned due to workloosed bolt
27/04/2024,Morning,6,CILT TIME ,8,1,Planned Stop,,Method,CILT TIME 
27/04/2024,Morning,6,CILT TIME ,21,1,Planned Stop,,Method,CILT TIME 
27/04/2024,Morning,6,CILT TIME ,7,1,Planned Stop,,Method,CILT TIME 
27/04/2024,Morning,6,CILT TIME ,11,1,Planned Stop,,Method,CILT TIME 
27/04/2024,Morning,6,CILT TIME ,11,1,Planned Stop,,Method,CILT TIME 
27/04/2024,Morning,5,CILT ongoing ,60,1,Planned Stop,Innofill,Man,CILT ongoing
27/04/2024,Morning,5,Jammed/Dropping of bottles from random rinsing probe,56,1,Break Down,Innofill,Machine,Jammed/Dropping of bottles from random rinsing probe
27/04/2024,Morning,5,Jammed/Dropping of bottles from random rinsing probe,47,1,Break Down,Innofill,Machine,Jammed/Dropping of bottles from random rinsing probe
27/04/2024,Morning,5,Jammed/Dropping of bottles from random rinsing probe,57,1,Break Down,Innofill,Machine,Jammed/Dropping of bottles from random rinsing probe
27/04/2024,Morning,5,Jammed/Dropping of bottles from random rinsing probe,54,1,Break Down,Innofill,Machine,Jammed/Dropping of bottles from random rinsing probe
27/04/2024,Morning,5,Jammed/Dropping of bottles from random rinsing probe,53,1,Break Down,Innofill,Machine,Jammed/Dropping of bottles from random rinsing probe
27/04/2024,Afternoon,6,Safety audit check on Filler,10,1,Planned Stop,Filler,Method,Safety audit check on filler workarea
27/04/2024,Afternoon,6,Speed loss due to weathered bottles ,10,1,External Stop,Filler,Material,Speed loss due to weathered bottles 
27/04/2024,Afternoon,6,Plan discharge for change-over,10,1,Change-Over,Filler,Method,Plan discharge for change-over
27/04/2024,Afternoon,6,Change over from Golder to more,60,1,Change-Over,Filler,Method,Change over from Golder to more
27/04/2024,Afternoon,6,Change over from Golder to more,30,1,Change-Over,Filler,Method,Change over from Golder to more
27/04/2024,Afternoon,6,cellars delay on producte request,30,1,Change-Over,Filler,Method,cellars delay on producte request
27/04/2024,Afternoon,6,cellars delay on producte request,20,1,External Stop,Filler,Method,cellars delay on producte request
27/04/2024,Afternoon,6,production preparation ,40,1,Change-Over,Filler,Method,production preparation 
27/04/2024,Afternoon,5,Intervention at Rinser due to Misaligned rinser probes,60,1,Break Down,Innofill,Machine,Intervention at Rinser due to Misaligned rinser probes
27/04/2024,Afternoon,5,Intervention at Rinser due to Misaligned rinser probes,60,1,Break Down,Innofill,Machine,Intervention at Rinser due to Misaligned rinser probes
27/04/2024,Afternoon,5,Intervention at Rinser due to Misaligned rinser probes,60,1,Break Down,Innofill,Machine,Intervention at Rinser due to Misaligned rinser probes
27/04/2024,Afternoon,5,Intervention at Rinser due to Misaligned rinser probes,29,1,Break Down,Innofill,Machine,Intervention at Rinser due to Misaligned rinser probes
27/04/2024,Afternoon,5,Cap jam at dynasort discharge unit due to bad/twisted cap,6,3,Minor Stop,Innofill,Material,Cap jam at dynasort discharge unit due to bad/twisted cap
27/04/2024,Afternoon,5,Preform accumulate and nested at the output chute of preform inclined conveyor,4,1,Minor Stop,Blowmax,Machine,Preform accumulate and nested at the output chute of preform inclined conveyor
27/04/2024,Afternoon,5,Fallen bottles at filler discharge conveyor due to poor bottles transfer,2,1,Minor Stop,Innofill,Machine,Fallen bottles at filler discharge conveyor due to poor bottles transfer
27/04/2024,Afternoon,5,Poor bottles flow along the air conveyor between sections 25-29,6,3,Minor Stop,Innofill,Machine,Poor bottles flow along the air conveyor between sections 25-29
27/04/2024,Afternoon,5,Cap jam at dynasort discharge unit due to bad/twisted cap,7,3,Minor Stop,Innofill,Material,Cap jam at dynasort discharge unit due to bad/twisted cap
27/04/2024,Afternoon,5,Uneven bottles transfer due to misaligned transfer fingers,18,9,Minor Stop,Innofill,Machine,Uneven bottles transfer due to misaligned transfer fingers
27/04/2024,Afternoon,5,fallen bottles at filler discharge conveyor due to bottle jam at filler checkmat,6,1,Minor Stop,Innofill,Machine,Fallen bottles at filler discharge conveyor due to bottle jam at filler checkmat
27/04/2024,Night,5,Position 2 bottle flow monitor malfunction,2,2,Minor Stop,Innofill,Machine,Position 2 bottle flow monitor malfunction.
27/04/2024,Night,6,Handover and machine safety audit ,12,1,Planned Stop,,Method,Handover and machine safety audit 
27/04/2024,Night,6,Start up after Change-over filler,48,1,Change-Over,,Method,Start up after Change-over filler
27/04/2024,Night,6,Start up after Change-over filler,36,1,Change-Over,,Method,Start up after Change-over filler
27/04/2024,Night,6,Pasteurizer stopped on KP value not reached,20,5,Minor Stop,Pasteuriser,Machine,Pasteurizer stopped on KP value not reached
27/04/2024,Night,6,Start up after Change-over (Fine tunning at Labeller),44,1,Change-Over,Labeller,Method,Start up after Change-over (Fine tunning at Labeller)
27/04/2024,Night,6,Packer gripper head jamming on centraing frame,23,5,Minor Stop,Packer/Unpacker,Machine,Packer gripper head jamming on centraing frame
27/04/2024,Night,6,Frequent chain hook at palletizer infeed c-curved crate conveyor,7,4,Minor Stop,Palletiser,Machine,Frequent chain hook at palletizer infeed c-curved crate conveyor
27/04/2024,Night,6,Frequent chain hook at palletizer infeed c-curved crate conveyor,30,5,Minor Stop,Palletiser,Machine,Frequent chain hook at palletizer infeed c-curved crate conveyor
27/04/2024,Night,6,Labeller stopped to correct coding error,30,1,Break Down,Labeller,Machine,Labeller stopped to correct coding error
27/04/2024,Night,6,EBI stopped on container back up has occured belt due to bottle jam from falling bottles and breakages,16,6,Minor Stop,EBI,Machine,EBI stopped on container back up has occured belt due to bottle jam from falling bottles and breakages
27/04/2024,Night,6,Frequent Jam at depalletiser cross discharge,28,6,Minor Stop,Depalletiser,Machine,Frequent Jam at depalletiser cross discharge
27/04/2024,Night,6,Frequent Jam at depalletiser cross discharge,26,5,Minor Stop,Depalletiser,Machine,Frequent Jam at depalletiser cross discharge
27/04/2024,Night,6,Frequent chain hook at palletizer infeed c-curved crate conveyor,12,4,Minor Stop,Palletiser,Machine,Frequent chain hook at palletizer infeed c-curved crate conveyor
27/04/2024,Night,6,Palletiser stopping frequently due to crate miscount,28,6,Minor Stop,Palletiser,Machine,Palletiser stopping frequently due to crate miscount
27/04/2024,Night,6,Palletiser stopping frequently due to crate miscount,14,5,Minor Stop,Palletiser,Machine,Palletiser stopping frequently due to crate miscount
27/04/2024,Night,6,Massive rejection on sidewall due to batch of weathered bottles ,34,7,Minor Stop,Bottle Washer,Material,Massive rejection on sidewall due to batch of weathered bottles 
